title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Toyota Corolla Cross HYBRID Z LEATHER 2022,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 4,580,000",2022,"1,800 cc","9,500 km",4
Toyota Corolla Hybrid G-X 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 2,900,000",2020,"1,800 cc","77,000 km",6
Toyota Premio F 2020,Toyota,Premio,Automatic,Octane,"Tk 4,150,000",2020,"1,490 cc","86,700 km",6
Suzuki Vitara JLX 4WD 1996,Suzuki,Vitara,Manual,"Petrol, CNG, Octane","Tk 550,000",1996,"1,600 cc","72,000 km",30
Toyota Axio Hybrid EX 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,950,000",2020,"1,490 cc","45,900 km",6
Toyota Starlet owner first 1992,Toyota,Starlet,Automatic,"CNG, Octane","Tk 480,000",1992,"1,331 cc","86,598 km",34
Toyota Premio F FL pakage 2018,Toyota,Premio,Automatic,Octane,"Tk 3,399,000",2018,"1,500 cc","96,000 km",8
Toyota Prado Tx-L 7Seat Sunroof 2017,Toyota,Prado,Automatic,"Petrol, Octane","Tk 8,900,000",2017,"2,700 cc","54,000 km",9
Range Rover Vogue SV SERENITY P460E 2025,Range Rover,Vogue,Automatic,"Petrol, Octane","Tk 90,000,000",2025,"3,000 cc",0 km,1
Toyota Land Cruiser Prado TXL Limited 2023,Toyota,Land Cruiser,Automatic,"Petrol, Octane","Tk 17,600,000",2023,"2,700 cc","16,000 km",3
Toyota Noah SI GRADE PUSH 2013,Toyota,Noah,Automatic,"Petrol, Octane, LPG","Tk 2,450,000",2013,"2,000 cc","68,000 km",13
Nissan Bluebird sylphy 2006,Nissan,Bluebird,Automatic,"CNG, Octane","Tk 1,050,000",2006,"1,500 cc","85,000 km",20
Toyota Axio X 2015,Toyota,Axio,Automatic,"Octane, LPG","Tk 2,040,000",2015,"1,500 cc","71,800 km",11
Toyota Rush G 2006,Toyota,Rush,Automatic,Octane,"Tk 1,340,000",2006,"1,500 cc","73,000 km",20
Toyota Noah Non hybrid 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 3,620,000",2020,"2,000 cc","78,254 km",6
Toyota Aqua GS STYLE VERSION 2014,Toyota,Aqua,Automatic,"Hybrid, Octane","Tk 1,350,000",2014,"1,500 cc","63,000 km",12
Honda CR-V JDM EX MUGEN KIT 2019,Honda,CR-V,Automatic,"Petrol, Octane","Tk 5,000,000",2019,"1,500 cc","39,000 km",7
Toyota Avanza 7Seats Dual Ac 1.5L 2010,Toyota,Avanza,Automatic,"Octane, LPG","Tk 1,360,000",2010,"1,500 cc","48,000 km",16
Nissan X-Trail 20Xi Xtt Leather Pkg 2012,Nissan,X-Trail,Automatic,"Petrol, Octane","Tk 1,980,000",2012,"2,000 cc","52,000 km",14
